address,grant_id,amount_in_usdt,raw_amount_in_token,token,amount_in_token_minus_gas,created_on,modified_on
0x1f96522d02e1c11ca6e12cc51635fba12a8f7807,138,1,1,"""SAI""",0.95,2019-10-03T13:24:11.848-06:00,2021-11-26T22:23:53.249-07:00
0x241e82c79452f51fbfc89fac6d912e021db1a3b7,519,5,5,"""SAI""",4.75,2019-10-03T02:31:27.926-06:00,2021-11-26T10:14:41.841-07:00
0x09cabec1ead1c0ba254b09efb3ee13841712be14,40,50,50,"""SAI""",50,2019-10-02T19:46:09.984-06:00,2021-11-26T20:27:30.906-07:00
0x09cabec1ead1c0ba254b09efb3ee13841712be14,145,50,50,"""SAI""",47.5,2019-10-02T19:21:05.520-06:00,2021-11-26T20:27:30.979-07:00
0xcda84cc75ec5c92a5dacabc13241256beceef964,40,4511.6733036635,25.1,"""WETH""",25.1,2019-10-02T19:16:50.012-06:00,2021-11-26T11:50:22.590-07:00
0x0f7ecf17f1abdeb5c53cf1dbba58b831c2a0d0c8,122,1.8,1.9,"""SAI""",1.8,2019-10-02T19:11:41.097-06:00,2021-11-26T13:35:28.529-07:00
0xc6581ce3a005e2801c1e0903281bbd318ec5b5c2,145,1,1,"""SAI""",0.95,2019-10-02T19:10:12.525-06:00,2021-11-26T20:14:24.625-07:00
0xc6581ce3a005e2801c1e0903281bbd318ec5b5c2,145,1,1,"""SAI""",0.95,2019-10-02T19:07:08.461-06:00,2021-11-26T20:45:25.327-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,200,10,10,"""SAI""",9.5,2019-10-02T18:08:45.031-06:00,2021-11-26T20:27:30.275-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,16,10,10,"""SAI""",10,2019-10-02T18:07:54.080-06:00,2021-11-26T13:35:27.125-07:00
0x932348df588923ba3f1fd50593b22c4e2a287919,24,3.8,3.8,"""SAI""",3.8,2019-10-02T17:49:48.857-06:00,2021-11-26T13:35:20.685-07:00
0x11179c3cb11cd08ca22afb91e515257d5e7bf03c,145,70.60096925,0.4,"""WETH""",0.4,2019-10-02T17:41:41.846-06:00,2021-11-26T13:35:21.482-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,183,10,10,"""SAI""",10,2019-10-02T17:36:55.287-06:00,2021-11-26T13:35:20.023-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,37,10,10,"""SAI""",10,2019-10-02T17:36:12.992-06:00,2021-11-26T10:19:39.136-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,125,10,10,"""SAI""",9.5,2019-10-02T17:35:42.274-06:00,2021-11-26T20:45:26.273-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,274,10,10,"""SAI""",9.5,2019-10-02T17:34:14.888-06:00,2021-11-26T20:27:29.483-07:00
0x60ea769c3b7b9c91bcf8d9c573db58f06e4efe12,274,10,10,"""SAI""",9.5,2019-10-02T17:33:19.234-06:00,2021-11-26T11:30:01.314-07:00
